name,name_lv,admin_unit,coord_Lat,coord_Long,status_republic,status_from,gerbURL,population
Subate,Subate,Ilūkstes novads,56.003055555556,25.906666666667,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Subate_gerb.png/25px-Subate_gerb.png,591
Talsi,Talsi,Talsu novads,57.246666666667,22.588611111111,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Coat_of_Arms_of_Talsi.svg/25px-Coat_of_Arms_of_Talsi.svg.png,9350
Tukums,Tukums,Tukuma novads,56.966666666667,23.153333333333,false,1795. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Coat_of_Arms_of_Tukums.svg/25px-Coat_of_Arms_of_Tukums.svg.png,17
Valdemarpils,Valdemārpils,Talsu novads,57.370555555556,22.591944444444,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Coat_of_Arms_of_Valdem%C4%81rpils.svg/25px-Coat_of_Arms_of_Valdem%C4%81rpils.svg.png,1234
Valka,Valka,Valkas novads,57.775,26.01,false,1584. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Coat_of_Arms_of_Valka.svg/25px-Coat_of_Arms_of_Valka.svg.png,4935
Valmiera,Valmiera,Valmieras pilsēta,57.538611111111,25.425555555556,true,1323. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/COA_LV_Valmiera.svg/25px-COA_LV_Valmiera.svg.png,24
Vangazi,Vangaži,Inčukalna novads,57.0925,24.546388888889,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Vangazi_gerb.png/25px-Vangazi_gerb.png,3512
Varaklani,Varakļāni,Varakļānu novads,56.610277777778,26.7525,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Varaklani_gerb.png/25px-Varaklani_gerb.png,1755
Ventspils,Ventspils,Ventspils pilsēta,57.390555555556,21.573333333333,true,1378. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/LVA_Ventspils_COA.svg/25px-LVA_Ventspils_COA.svg.png,35
Viesite,Viesīte,Viesītes novads,56.345,25.5575,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Viesite_gerb.png/25px-Viesite_gerb.png,1530
Vilaka,Viļaka,Viļakas novads,57.184166666667,27.6725,false,1945. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Vilaka_gerb.png/25px-Vilaka_gerb.png,1245
Vilani,Viļāni,Viļānu novads,56.5525,26.924722222222,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/LVA_Vi%C4%BC%C4%81ni_COA.png/25px-LVA_Vi%C4%BC%C4%81ni_COA.png,2831
Zilupe,Zilupe,Zilupes novads,56.385277777778,28.121944444444,false,1931. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Escut_Zilupe.PNG/25px-Escut_Zilupe.PNG,1369
